MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
3179.9784,2984.4075,80.4452,0.2376,2.4011,82.836,0.3864,0.1541,7
3180.1308,2984.5361,76.9563,0.2564,2.4201,81.8525,0.3705,0.1487,7
3180.2832,2984.6648,75.993,0.2434,2.4224,81.9711,0.4217,0.1462,7
3180.4356,2984.7935,81.7403,0.2378,2.4025,81.8574,0.4136,0.1535,7
3180.588,2984.9221,85.0427,0.2438,2.3762,83.4269,0.3974,0.1618,7
3180.7404,2985.0508,91.9688,0.2292,2.375,81.0205,0.3437,0.1652,7
3180.8928,2985.1795,90.0797,0.2245,2.3993,80.9079,0.3694,0.1512,7
3181.0452,2985.3081,84.8881,0.2059,2.4303,81.1202,0.3665,0.1331,7
3181.1976,2985.4368,81.506,0.2086,2.4308,81.231,0.379,0.1312,7
3181.35,2985.5655,82.7654,0.2093,2.4301,81.892,0.3804,0.1315,7
3181.5024,2985.6941,83.6051,0.2085,2.4224,82.6686,0.363,0.1365,7
3181.6548,2985.8228,85.2838,0.2213,2.4227,82.772,0.4088,0.1351,7
3181.8072,2985.9515,79.7928,0.2349,2.4209,82.6988,0.4159,0.1384,7
3181.9596,2986.0801,82.7316,0.2404,2.4335,83.7395,0.4518,0.1304,7
3182.112,2986.2088,86.089,0.2446,2.4513,84.4713,0.4951,0.1187,7
3182.2644,2986.3375,94.0989,0.2396,2.4669,83.2087,0.5654,0.1033,7
3182.4168,2986.4662,94.0199,0.2544,2.4818,81.9392,0.5793,0.0984,7
3182.5692,2986.5948,90.811,0.2478,2.4912,80.6331,0.536,0.1009,7
3182.7216,2986.7235,84.668,0.2439,2.5009,79.7449,0.4644,0.1119,7
3182.874,2986.8522,80.1061,0.2384,2.5032,78.5339,0.4084,0.119,7
3183.0264,2986.9808,75.127,0.228,2.524,77.4782,0.3588,0.1182,7
3183.1788,2987.1095,75.1827,0.2146,2.5388,75.9204,0.3565,0.1052,7
3183.3312,2987.2382,73.9462,0.1993,2.5448,75.0923,0.351,0.0943,7
3183.4836,2987.3668,76.5383,0.1928,2.543,75.3084,0.3559,0.0897,7
3183.636,2987.4955,69.1916,0.1913,2.5348,77.2741,0.2918,0.1101,7
3183.7884,2987.6242,70.5133,0.2179,2.5,80.1663,0.304,0.1332,7
3183.9408,2987.7528,70.5913,0.2406,2.4484,83.0303,0.3392,0.1512,7
3184.0932,2987.8815,81.2426,0.2588,2.4132,84.2368,0.4428,0.1461,7
3184.2456,2988.0102,84.5389,0.2539,2.405,83.7295,0.4651,0.1448,7
3184.398,2988.1388,88.1914,0.2425,2.4066,83.7057,0.4463,0.148,7
3184.5504,2988.2675,81.9481,0.249,2.3852,84.1086,0.4181,0.1589,7
3184.7028,2988.3962,77.5327,0.2481,2.3819,81.5099,0.3526,0.1635,7
3184.8552,2988.5248,69.2622,0.24,2.4023,77.5607,0.2696,0.1594,7
3185.0076,2988.6535,64.8646,0.1958,2.4152,77.2994,0.2183,0.1537,7
3185.16,2988.7822,60.8837,0.1763,2.3961,76.9631,0.1707,0.1658,7
3185.3124,2988.9109,57.03,0.2008,2.3805,75.286,0.1452,0.19,7
3185.4648,2989.0395,57.4393,0.2533,2.3987,75.9245,0.1494,0.1993,7
3185.6172,2989.1682,57.6897,0.2434,2.4451,75.9119,0.1929,0.17,7
3185.7696,2989.2969,65.5317,0.2174,2.4671,74.2423,0.2926,0.126,7
3185.922,2989.4255,74.2454,0.1848,2.489,78.0626,0.4128,0.0944,7
3186.0744,2989.5542,88.0589,0.1964,2.5038,82.1219,0.495,0.0822,7
3186.2268,2989.6829,93.8591,0.1995,2.5102,82.7794,0.524,0.0818,7
3186.3792,2989.8117,98.9993,0.2128,2.502,82.1745,0.5303,0.0913,7
3186.5316,2989.9405,96.564,0.2206,2.4789,82.4117,0.5322,0.1105,7
3186.684,2990.0693,93.4926,0.2478,2.4394,84.4104,0.5346,0.1339,7
3186.8364,2990.1982,89.5043,0.2708,2.4017,85.6776,0.4812,0.1454,7
