MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
5,2436.8048,108.5651,0.1553,2.514,67.7723,0.3674,0.0733,5
2560.1676,2436.9501,103.9872,0.1498,2.5198,68.5411,0,0,5
2560.32,2437.0953,96.1059,0.1463,2.5188,69.8142,0.0158,0.0038,5
2560.4724,2437.2406,83.0001,0.1447,2.5096,70.2889,0.3367,0.0813,5
2560.6248,2437.3853,79.397,0.1636,2.4974,70.4245,0.3797,0.0875,3
2560.7772,2437.5299,73.8113,0.1711,2.4891,70.7579,0.3407,0.0983,2
2560.9296,2437.6745,69.6396,0.167,2.4842,72.0034,0.2902,0.1051,2
2561.082,2437.8191,64.064,0.1615,2.4893,73.9003,0.2294,0.1096,2
2561.2344,2437.9637,68.2999,0.1679,2.4857,76.3369,0.2819,0.1066,2
2561.3868,2438.1083,76.3339,0.1845,2.473,77.6803,0.377,0.1054,2
2561.5392,2438.2529,83.4879,0.2141,2.4543,78.4162,0.459,0.1118,2
2561.6916,2438.3975,84.9457,0.2323,2.4421,75.6085,0.4752,0.1226,2
2561.844,2438.5421,84.4706,0.2348,2.441,72.0531,0.4652,0.1261,2
2561.9964,2438.6867,76.1019,0.2125,2.4671,68.7878,0.3693,0.1241,2
2562.1488,2438.8313,74.3135,0.1832,2.4956,65.9281,0.3462,0.1017,2
2562.3012,2438.9759,69.3193,0.1683,2.5029,65.1964,0.2886,0.1021,2
2562.4536,2439.1205,67.6995,0.1563,2.4911,65.972,0.2574,0.0966,2
2562.606,2439.2651,65.4101,0.1479,2.498,66.3035,0,0,2
2562.7584,2439.4097,61.7656,0.136,2.5217,63.4113,0,0,2
2562.9108,2439.5543,64.8702,0.1239,2.5481,62.6432,0,0,6
2563.0632,2439.6989,66.6801,0.1165,2.5548,62.6496,0,0,6
2563.2156,2439.8435,65.8284,0.1137,2.57,62.2727,0,0,6
2563.368,2439.9881,64.7061,0.1103,2.584,62.523,0,0,6
2563.5204,2440.1327,58.227,0.1111,2.601,62.1063,0,0,6
2563.6728,2440.2773,60.1587,0.1096,2.619,61.6396,0,0,6
2563.8252,2440.4219,60.692,0.1127,2.6223,62.3997,0,0,6
2563.9776,2440.5665,72.7052,0.1248,2.617,68.7503,0.0255,0.0008,6
2564.13,2440.7111,90.3877,0.1476,2.611,71.8199,0.5446,0.0157,5
2564.2824,2440.8557,106.5481,0.1649,2.6088,75.924,0.6355,0.0112,5
2564.4348,2441.0003,118.6964,0.1859,2.6048,78.4029,0.7048,0.0115,5
2564.5872,2441.1449,122.4758,0.1919,2.5896,79.567,0.697,0.0208,5
2564.7396,2441.2895,123.6419,0.2058,2.582,79.647,0.7318,0.0238,5
2564.892,2441.4341,119.2326,0.1992,2.5845,79.2733,0.7141,0.023,5
2565.0444,2441.5787,119.6375,0.2075,2.5854,79.4898,0.7462,0.0211,5
2565.1968,2441.7233,121.9379,0.2017,2.5884,76.86,0.7319,0.02,5
2565.3492,2441.8679,121.083,0.2069,2.5885,74.5605,0.7526,0.0187,5
2565.5016,2442.0125,115.5488,0.2041,2.6036,71.2989,0.7699,0.0094,5
2565.654,2442.1571,103.0594,0.1952,2.6142,67.7978,0.6851,0.0127,5
2565.8064,2442.3017,92.261,0.1652,2.6151,65.7271,0.536,0.0174,5
2565.9588,2442.4463,84.2317,0.1357,2.6021,65.4515,0,0,6
2566.1112,2442.5909,89.6964,0.1322,2.5731,68.3368,0.0212,0.0025,6
2566.2636,2442.7355,94.5557,0.1501,2.5516,67.5744,0.4487,0.0522,6
2566.416,2442.8801,98.4006,0.1604,2.5395,65.9666,0.4632,0.0581,5
2566.5684,2443.0247,94.956,0.1533,2.5665,63.7085,0.4702,0.0394,5
2566.7208,2443.1693,91.4465,0.1318,2.6004,59.179,0,0,5
2566.8732,2443.3139,90.0108,0.1146,2.6324,60.2993,0,0,6
2567.0256,2443.4585,89.0011,0.1086,2.6426,62.2506,0,0,6
2567.178,2443.6031,85.0867,0.1155,2.6314,67.5047,0,0,6
2567.3304,2443.7477,79.7146,0.115,2.617,68.1402,0,0,6
2567.4828,2443.8923,74.1804,0.1225,2.5813,68.1592,0,0,6
2567.6352,2444.0369,74.3789,0.1471,2.5522,69.1186,0.0167,0.0041,3
2567.7876,2444.1815,74.7075,0.181,2.5365,75.5551,0.3528,0.087,2
2567.94,2444.3261,73.0365,0.1875,2.5256,79.9793,0.3336,0.0981,2
2568.0924,2444.4707,72.7524,0.1768,2.5044,79.1857,0.3294,0.0963,2
2568.2448,2444.6153,70.9976,0.1665,2.4621,82.0436,0.3105,0.112,2
2568.3972,2444.7599,74.7684,0.187,2.4331,79.7828,0.3319,0.1278,2
2568.5496,2444.9045,75.934,0.2028,2.4111,82.4164,0.3448,0.1399,2
2568.702,2445.0491,74.936,0.2109,2.3986,83.1219,0.3458,0.1469,2
2568.8544,2445.1937,70.2716,0.1975,2.3948,80.4651,0.2871,0.1514,2
2569.0068,2445.3383,67.8419,0.201,2.4009,76.4182,0.2716,0.1525,2
2569.1592,2445.4829,67.2201,0.2214,2.3957,74.2366,0.266,0.1653,2
2569.3116,2445.6275,69.8645,0.2298,2.3865,74.6012,0.2958,0.1665,2
2569.464,2445.7721,69.4595,0.2189,2.4061,80.104,0.2917,0.1539,2
2569.6164,2445.9167,70.4269,0.1917,2.4469,77.1419,0.3034,0.126,2
2569.7688,2446.0613,71.697,0.1853,2.4811,72.1084,0.3209,0.1091,2
2569.9212,2446.2059,77.2312,0.1984,2.4763,71.0731,0.384,0.1071,2
2570.0736,2446.3505,77.6937,0.2041,2.4802,71.9964,0.386,0.1065,2
2570.226,2446.4951,72.0245,0.1922,2.5146,73.8592,0.3161,0.1034,2
2570.3784,2446.6397,62.0359,0.1531,2.5726,72.4091,0.1932,0.0881,2
2570.5308,2446.7843,57.9958,0.1277,2.6181,65.5586,0,0,6
2570.6832,2446.9289,59.7506,0.1179,2.6253,67.3765,0,0,6
2570.8356,2447.0735,61.7753,0.1295,2.613,67.7235,0,0,6
2570.988,2447.2181,65.3304,0.1487,2.5707,69.9155,0.0141,0.0043,6
2571.1404,2447.3627,70.1295,0.1698,2.5244,74.5124,0.3022,0.091,6
2571.2928,2447.5073,75.5287,0.1869,2.4836,78.317,0.3669,0.1033,3
2571.4452,2447.6519,81.8045,0.2041,2.4646,71.555,0.4397,0.1066,3
2571.5976,2447.7965,84.5643,0.1969,2.4862,70.578,0.4711,0.0913,3
2571.75,2447.9411,86.2699,0.1771,2.5153,70.7919,0.4717,0.0727,3
2571.9024,2448.0857,84.4485,0.1531,2.5389,69.8636,0.4311,0.0606,3
2572.0548,2448.2303,87.1481,0.1562,2.5261,72.4104,0.4198,0.0689,3
2572.2072,2448.3749,92.1161,0.1876,2.5086,75.3882,0.4999,0.0767,3
2572.3596,2448.5195,91.8462,0.194,2.4966,78.313,0.4993,0.0838,3
2572.512,2448.6641,89.5515,0.2019,2.4906,80.346,0.5151,0.0867,3
2572.6644,2448.8087,87.0623,0.1969,2.4891,81.6971,0.4932,0.0885,3
2572.8168,2448.9533,88.0763,0.1978,2.4852,81.6942,0.4873,0.0912,3
2572.9692,2449.0979,89.966,0.197,2.4767,81.628,0.4625,0.0974,3
2573.1216,2449.2425,90.1659,0.1881,2.4551,81.8812,0.3834,0.1126,3
2573.274,2449.3871,93.8356,0.1879,2.4484,82.023,0.3691,0.1168,3
2573.4264,2449.5317,92.0809,0.187,2.456,82.3984,0.3847,0.1113,3
2573.5788,2449.6763,92.0809,0.1914,2.477,82.7429,0.4485,0.0969,3
2573.7312,2449.8209,89.4218,0.2054,2.4841,82.6336,0.5167,0.0902,3
2573.8836,2449.9655,90.2968,0.2168,2.4969,82.7588,0.5408,0.0849,3
2574.036,2450.1101,93.2015,0.2142,2.5099,82.6622,0.5753,0.0747,3
2574.1884,2450.2547,96.5761,0.2051,2.5254,82.188,0.6045,0.0624,5
2574.3408,2450.3993,99.7504,0.195,2.5351,81.5404,0.587,0.0572,5
2574.4932,2450.5439,100.2125,0.1898,2.5413,80.9227,0.5814,0.0537,5
2574.6456,2450.6885,99.8075,0.1913,2.5466,80.629,0.5985,0.05,5
2574.798,2450.8331,98.9976,0.1917,2.5483,80.3748,0.6036,0.0492,5
