WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RDT_2P,3551.2,2624.0482,75.0863,0.2113,2.4731,83.6113,0.156,0.134,0
RDT_2P,3551.3,2624.1169,73.1126,0.2019,2.4884,83.2678,0.155,0.1241,0
RDT_2P,3551.4,2624.1856,71.7835,0.1939,2.5017,82.7002,0.1584,0.1176,0
RDT_2P,3551.5,2624.2543,70.6025,0.1871,2.514,81.9688,0.1581,0.1127,0
RDT_2P,3551.6,2624.323,68.9841,0.1833,2.525,80.9103,0.1352,0.1087,0
RDT_2P,3551.7,2624.3917,69.3565,0.1822,2.5363,79.5948,0.1205,0.1062,0
RDT_2P,3551.8,2624.4605,70.5983,0.183,2.5475,78.1184,0.1085,0.1043,0
RDT_2P,3551.9,2624.5292,71.1575,0.1869,2.5566,76.43,0.0881,0.1021,0
RDT_2P,3552,2624.5979,71.7983,0.1925,2.5573,74.7295,0.09,0.1039,0
RDT_2P,3552.1,2624.6666,72.4474,0.1993,2.5508,73.0447,0.1046,0.1092,0
RDT_2P,3552.2,2624.7353,72.722,0.2073,2.5244,71.5678,0.1106,0.1232,0
RDT_2P,3552.3,2624.804,73.1325,0.2155,2.4887,70.3789,0.1177,0.1405,0
RDT_2P,3552.4,2624.8727,73.5576,0.2235,2.4458,69.4452,0.1253,0.16,0
RDT_2P,3552.5,2624.9414,72.3092,0.23,2.4012,69.2332,0.1282,0.1774,0
RDT_2P,3552.6,2625.0102,71.6929,0.236,2.3626,69.4576,0.1331,0.1924,0
RDT_2P,3552.7,2625.0789,71.66,0.2414,2.3297,70.0848,0.14,0.2053,0
RDT_2P,3552.8,2625.1476,68.6863,0.2462,2.312,71.4308,0.126,0.212,0
RDT_2P,3552.9,2625.2163,67.1118,0.2511,2.3002,73.0093,0.1184,0.2181,0
RDT_2P,3553,2625.285,67.0529,0.2562,2.2948,74.8396,0.1177,0.2235,0
RDT_2P,3553.1,2625.3537,69.7375,0.2614,2.2957,76.9048,0.0917,0.2259,0
RDT_2P,3553.2,2625.4224,71.4512,0.2665,2.2982,78.9986,0.0735,0.2261,0
RDT_2P,3553.3,2625.4912,71.6865,0.2713,2.3023,81.1138,0.0672,0.2236,0
RDT_2P,3553.4,2625.5599,71.6034,0.2747,2.3063,83.057,0.0869,0.2224,0
RDT_2P,3553.5,2625.6286,71.5225,0.2775,2.3096,84.8238,0.1051,0.222,0
RDT_2P,3553.6,2625.6973,71.5028,0.2797,2.3119,86.334,0.1161,0.2226,0
RDT_2P,3553.7,2625.766,69.454,0.2806,2.3124,87.4205,0.117,0.2233,0
RDT_2P,3553.8,2625.8347,67.6668,0.2808,2.3121,88.3288,0.1163,0.2249,0
RDT_2P,3553.9,2625.9034,67.0813,0.2804,2.3105,89.0156,0.1155,0.2285,0
RDT_2P,3554,2625.9721,67.0759,0.2798,2.3082,89.6367,0.105,0.2308,0
RDT_2P,3554.1,2626.0409,67.5808,0.279,2.306,90.2478,0.0903,0.2323,0
RDT_2P,3554.2,2626.1096,69.0479,0.2779,2.3041,90.8734,0.0704,0.2325,0
RDT_2P,3554.3,2626.1783,70.17,0.2766,2.3036,91.431,0.0659,0.2306,0
RDT_2P,3554.4,2626.247,70.9557,0.2752,2.3039,91.9124,0.0676,0.2278,0
RDT_2P,3554.5,2626.3157,71.021,0.2735,2.3055,92.2203,0.073,0.2247,0
RDT_2P,3554.6,2626.3844,70.6196,0.2709,2.3074,92.3763,0.0877,0.2223,0
RDT_2P,3554.7,2626.4531,69.9798,0.268,2.3091,92.4561,0.104,0.2207,0
RDT_2P,3554.8,2626.5218,69.1367,0.2647,2.309,92.4759,0.1103,0.2206,0
RDT_2P,3554.9,2626.5906,68.2812,0.2617,2.307,92.4997,0.1111,0.2215,0
RDT_2P,3555,2626.6593,67.5409,0.2591,2.3037,92.519,0.1081,0.2231,0
RDT_2P,3555.1,2626.728,67.5475,0.2573,2.2991,92.4988,0.0998,0.2252,0
RDT_2P,3555.2,2626.7967,68.1538,0.2566,2.2951,92.4154,0.091,0.2264,0
RDT_2P,3555.3,2626.8654,69.0661,0.257,2.2917,92.2906,0.0819,0.227,0
RDT_2P,3555.4,2626.9341,69.3555,0.2599,2.2904,92.1404,0.073,0.2264,0
RDT_2P,3555.5,2627.0028,68.6678,0.2638,2.2908,92.0635,0.0709,0.2266,0
RDT_2P,3555.6,2627.0715,67.235,0.2687,2.2926,92.0494,0.0743,0.2275,0
RDT_2P,3555.7,2627.1403,65.61,0.2744,2.2971,92.2184,0.0853,0.2307,0
RDT_2P,3555.8,2627.209,64.5974,0.2797,2.3025,92.4329,0.0912,0.2333,0
RDT_2P,3555.9,2627.2777,64.15,0.2848,2.3086,92.6896,0.0924,0.2352,0
RDT_2P,3556,2627.3464,65.3853,0.2867,2.3145,92.8777,0.0766,0.2347,0
RDT_2P,3556.1,2627.4151,67.0635,0.2863,2.3199,92.9979,0.0602,0.2318,0
RDT_2P,3556.2,2627.4838,69.2411,0.2834,2.3248,93.0413,0.0432,0.2262,0
RDT_2P,3556.3,2627.5525,70.3497,0.2759,2.3288,92.9529,0.0376,0.2207,0
RDT_2P,3556.4,2627.6207,71.9741,0.2665,2.3326,92.8036,0.0388,0.2139,0
RDT_2P,3556.5,2627.6875,74.3886,0.2546,2.3365,92.5798,0.0487,0.2051,0
RDT_2P,3556.6,2627.7543,74.0438,0.2412,2.3413,92.2045,0.0746,0.1965,0
RDT_2P,3556.7,2627.8211,72.8875,0.2277,2.3473,91.7284,0.0935,0.1888,0
RDT_2P,3556.8,2627.8879,70.9071,0.2144,2.3554,91.1151,0.0982,0.1826,0
RDT_2P,3556.9,2627.9547,70.213,0.2023,2.3689,90.3079,0.1273,0.1735,0
RDT_2P,3557,2628.0215,69.2271,0.1912,2.3862,89.4124,0.1497,0.1635,0
RDT_2P,3557.1,2628.0883,67.1878,0.1814,2.4094,88.4068,0.1497,0.153,0
RDT_2P,3557.2,2628.1551,66.6274,0.1739,2.4386,87.3522,0.1285,0.1407,0
RDT_2P,3557.3,2628.2219,66.1068,0.168,2.4695,86.2877,0.1088,0.1284,0
RDT_2P,3557.4,2628.2887,64.7384,0.1648,2.5004,85.2296,0.1062,0.1176,0
RDT_2P,3557.5,2628.3555,63.7941,0.1645,2.5241,84.1501,0.0895,0.1113,0
RDT_2P,3557.6,2628.4223,63.0762,0.1661,2.5414,83.0326,0.0716,0.108,0
RDT_2P,3557.7,2628.4891,62.6683,0.1707,2.545,81.8101,0.0653,0.1104,0
RDT_2P,3557.8,2628.5559,62.8284,0.1788,2.5356,80.4739,0.0563,0.1177,0
RDT_2P,3557.9,2628.6227,63.1926,0.189,2.5186,79.0944,0.0459,0.1279,0
RDT_2P,3558,2628.6895,63.4295,0.2019,2.4919,77.729,0.0346,0.1424,0
RDT_2P,3558.1,2628.7563,63.9051,0.2163,2.4636,76.5572,0.0264,0.1575,0
RDT_2P,3558.2,2628.8231,64.4722,0.2313,2.4354,75.5509,0.0205,0.1726,0
RDT_2P,3558.3,2628.8899,64.8447,0.2457,2.4127,74.9493,0.0199,0.1856,0
RDT_2P,3558.4,2628.9567,65.5679,0.2584,2.3976,74.6281,0.0218,0.1946,0
RDT_2P,3558.5,2629.0235,67.0812,0.2696,2.3884,74.5205,0.0253,0.1997,0
RDT_2P,3558.6,2629.0903,74.3165,0.2779,2.3921,74.7619,0.029,0.1913,0
RDT_2P,3558.7,2629.1571,82.9342,0.2851,2.4005,75.2155,0.0339,0.1781,0
RDT_2P,3558.8,2629.2239,92.7255,0.2913,2.4128,75.8514,0.0396,0.1611,0
RDT_2P,3558.9,2629.2907,104.6137,0.2972,2.4245,76.8662,0.0444,0.1432,0
RDT_2P,3559,2629.3575,114.5854,0.3034,2.4329,78.0371,0.0549,0.1117,0
RDT_2P,3559.1,2629.4243,122.788,0.3097,2.4382,79.3523,0.0708,0.0675,0
