WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,3229.8132,2988.4848,126.235,0.232,2.59,80.563,0.7732,0.0175,5
RD_7P,3229.8894,2988.5566,126.119,0.239,2.595,80.036,0.7991,0.0109,5
RD_7P,3229.9656,2988.6284,126.326,0.244,2.601,79.488,0.8332,0.0055,5
RD_7P,3230.0418,2988.7002,126.862,0.245,2.605,79.097,0.8631,0.0028,5
RD_7P,3230.118,2988.772,127.612,0.244,2.606,79.105,0.871,0.0023,5
RD_7P,3230.1942,2988.8438,128.437,0.243,2.605,79.621,0.8796,0.0019,5
RD_7P,3230.2704,2988.9156,129.259,0.245,2.603,80.517,0.873,0.0022,5
RD_7P,3230.3466,2988.9874,130.036,0.249,2.602,81.537,0.87,0.0024,5
RD_7P,3230.4228,2989.0592,130.776,0.255,2.604,82.512,0.8828,0.0017,5
RD_7P,3230.499,2989.131,131.569,0.257,2.607,83.393,0.9047,0.0009,5
RD_7P,3230.5752,2989.2028,132.406,0.256,2.611,84.138,0.9209,0.0006,5
RD_7P,3230.6514,2989.2746,133.184,0.252,2.615,84.658,0.929,0.0005,5
RD_7P,3230.7276,2989.3464,133.655,0.249,2.618,84.816,0.9339,0.0004,5
RD_7P,3230.8038,2989.4182,133.535,0.247,2.62,84.513,0.9327,0.0004,5
RD_7P,3230.88,2989.49,132.678,0.247,2.621,83.834,0.9237,0.0005,5
RD_7P,3230.9562,2989.5618,131.191,0.249,2.62,83.016,0.9082,0.0009,5
RD_7P,3231.0324,2989.6336,129.359,0.251,2.617,82.222,0.8892,0.0015,5
RD_7P,3231.1086,2989.7054,127.707,0.251,2.611,81.407,0.8719,0.0023,5
RD_7P,3231.1848,2989.7772,126.9,0.249,2.604,80.446,0.8635,0.0028,5
RD_7P,3231.261,2989.849,127.139,0.243,2.596,79.361,0.866,0.0026,5
RD_7P,3231.3372,2989.9208,128.068,0.237,2.589,78.319,0.858,0.0032,5
RD_7P,3231.4134,2989.9926,129.034,0.23,2.583,77.41,0.8247,0.0066,5
RD_7P,3231.4896,2990.0645,129.496,0.225,2.581,76.471,0.7986,0.011,5
RD_7P,3231.5658,2990.1363,129.218,0.224,2.581,75.191,0.7755,0.0168,5
RD_7P,3231.642,2990.2081,128.194,0.225,2.583,73.467,0.7655,0.0199,5
RD_7P,3231.7182,2990.2799,126.377,0.225,2.585,71.595,0.7678,0.0191,5
RD_7P,3231.7944,2990.3517,123.443,0.221,2.585,70.091,0.7705,0.0183,5
RD_7P,3231.8706,2990.4235,118.905,0.21,2.582,69.335,0.7607,0.0215,5
RD_7P,3231.9468,2990.4953,112.277,0.196,2.579,69.308,0.7112,0.0353,5
RD_7P,3232.023,2990.5671,103.49,0.183,2.576,69.612,0.6197,0.0432,5
RD_7P,3232.0992,2990.6389,93.235,0.172,2.5578,69.872,0.5129,0.052,1
RD_7P,3232.1754,2990.7107,82.681,0.166,2.54,70.145,0.4029,0.0617,0
RD_7P,3232.2516,2990.7825,73.009,0.165,2.5201,70.769,0.3022,0.0714,0
RD_7P,3232.3278,2990.8543,65.356,0.167,2.4999,71.865,0.2225,0.0804,0
RD_7P,3232.404,2990.9261,60.448,0.172,2.4821,73.088,0.1713,0.0878,0
RD_7P,3232.4802,2990.9979,58.485,0.178,2.4682,73.888,0.1509,0.0926,0
RD_7P,3232.5564,2991.0697,59.178,0.183,2.4585,74.053,0.1581,0.0956,0
RD_7P,3232.6326,2991.1415,61.874,0.185,2.4535,73.93,0.1862,0.0974,0
RD_7P,3232.7088,2991.2133,65.636,0.184,2.4524,74.014,0.2254,0.0993,0
RD_7P,3232.785,2991.2851,69.481,0.18,2.454,74.437,0.2654,0.1015,0
RD_7P,3232.8612,2991.3569,72.649,0.177,2.4584,74.941,0.2984,0.1047,0
RD_7P,3232.9374,2991.4287,74.764,0.176,2.4635,75.224,0.3205,0.1081,0
RD_7P,3233.0136,2991.5005,75.83,0.178,2.4701,75.216,0.3316,0.112,0
RD_7P,3233.0898,2991.5723,76.146,0.181,2.4769,75.04,0.3349,0.1154,0
