WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_2P_P,3429.9,3113.4818,89.6091,0.1917,2.463,78.2833,0.3859,0.1113,0
RD_2P_P,3430.05,3113.6078,88.8122,0.1847,2.4825,78.7074,0.4067,0.099,0
RD_2P_P,3430.2,3113.7338,87.995,0.1903,2.508,78.7934,0.4695,0.084,0
RD_2P_P,3430.35,3113.8598,88.7805,0.2036,2.528,78.557,0.4876,0.0801,0
RD_2P_P,3430.5,3113.9858,89.4774,0.2179,2.5246,78.541,0.4907,0.0886,0
RD_2P_P,3430.65,3114.1118,87.5574,0.2124,2.5004,78.4139,0.4638,0.0979,0
RD_2P_P,3430.8,3114.2378,83.3146,0.2045,2.4633,78.3114,0.4032,0.116,0
RD_2P_P,3430.95,3114.3638,78.6387,0.1924,2.4335,79.18,0.3228,0.1346,0
RD_2P_P,3431.1,3114.4898,73.9522,0.2022,2.4061,79.9087,0.3036,0.1495,0
RD_2P_P,3431.25,3114.6158,73.325,0.2065,2.3926,80.0877,0.288,0.156,0
RD_2P_P,3431.4,3114.7418,71.8925,0.1991,2.3922,79.7275,0.2532,0.1565,0
RD_2P_P,3431.55,3114.8678,71.4944,0.1824,2.3957,78.8579,0.2024,0.1562,0
RD_2P_P,3431.7,3114.9938,67.9688,0.1717,2.3942,77.5909,0.167,0.1593,0
RD_2P_P,3431.85,3115.1198,64.0354,0.1731,2.3833,76.5595,0.1583,0.1646,0
RD_2P_P,3432,3115.2458,61.9853,0.178,2.3801,77.2283,0.1528,0.1667,0
RD_2P_P,3432.15,3115.3718,56.7084,0.1749,2.3821,76.8468,0.1211,0.1667,0
RD_2P_P,3432.3,3115.4978,54.8629,0.1653,2.3925,76.245,0.1069,0.1622,0
RD_2P_P,3432.45,3115.6238,54.2083,0.1634,2.4,76.5137,0.1231,0.1582,0
RD_2P_P,3432.6,3115.7498,61.4911,0.1691,2.4036,77.0937,0.1838,0.1522,0
RD_2P_P,3432.75,3115.8758,68.6508,0.1794,2.4077,77.2711,0.2363,0.1474,0
RD_2P_P,3432.9,3116.0018,72.5251,0.1838,2.4113,77.8697,0.246,0.1471,0
RD_2P_P,3433.05,3116.1278,69.3576,0.1904,2.4127,78.3773,0.2279,0.1523,0
RD_2P_P,3433.2,3116.2538,64.112,0.2005,2.4085,78.4277,0.1943,0.1621,0
